2021-Sep-09 11:54:42 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - browser is maximised
2021-Sep-09 11:54:46 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - deleted cookies
2021-Sep-09 11:55:00 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - url navigated
2021-Sep-09 11:55:03 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:10 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:15 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:15 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:15 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - blue colour link clicked
2021-Sep-09 11:55:16 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:16 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:25 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:33 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:55:36 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:56:08 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
