2021-Sep-09 11:58:30 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - browser is maximised
2021-Sep-09 11:58:30 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - deleted cookies
2021-Sep-09 11:58:50 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - url navigated
2021-Sep-09 11:58:57 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:04 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:09 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:09 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:09 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - blue colour link clicked
2021-Sep-09 11:59:10 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:10 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:21 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 11:59:30 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 12:00:02 pm [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
