2021-Sep-09 05:07:10 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - browser is maximised
2021-Sep-09 05:07:11 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - deleted cookies
2021-Sep-09 05:07:13 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - url navigated
2021-Sep-09 05:07:39 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:08:32 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:08:46 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:08:47 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:08:47 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:08:48 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:09:06 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:09:07 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
2021-Sep-09 05:09:37 am [TestNG-PoolService-0] DEBUG StepDefs.StepDefs - Each step hook is executed, screen shot is taken
